skill_id,skills,type
0,sql,programming
1,python,programming
2,nosql,programming
3,scala,programming
4,java,programming
5,r,programming
6,shell,programming
7,sas,programming
8,go,programming
9,javascript,programming
10,html,programming
11,css,programming
12,bash,programming
13,c++,programming
14,c#,programming
15,matlab,programming
16,t-sql,programming
17,typescript,programming
18,mongodb,programming
19,kotlin,programming
20,powershell,programming
21,visual basic,programming
22,vba,programming
23,crystal,programming
24,mongo,programming
25,php,programming
26,c,programming
27,golang,programming
28,no-sql,programming
29,julia,programming
30,ruby,programming
31,perl,programming
32,assembly,programming
33,groovy,programming
34,objective-c,programming
35,swift,programming
36,apl,programming
37,dart,programming
38,solidity,programming
39,rust,programming
40,clojure,programming
41,elixir,programming
42,vb.net,programming
43,haskell,programming
44,fortran,programming
45,pascal,programming
46,cobol,programming
47,sass,programming
48,lisp,programming
49,delphi,programming
50,lua,programming
51,erlang,programming
52,f#,programming
53,ocaml,programming
54,visualbasic,programming
55,redis,databases
56,mysql,databases
57,postgresql,databases
58,neo4j,databases
59,elasticsearch,databases
60,mariadb,databases
61,sql server,databases
62,mongodb,databases
63,cassandra,databases
64,dynamodb,databases
65,couchbase,databases
66,firebase,databases
67,db2,databases
68,firestore,databases
69,couchdb,databases
70,sqlite,databases
71,sqlserver,databases
72,sqlserver,databases
73,vmware,cloud
74,azure,cloud
75,databricks,cloud
76,aws,cloud
77,bigquery,cloud
78,redshift,cloud
79,oracle,cloud
80,snowflake,cloud
81,gcp,cloud
82,firebase,cloud
83,aurora,cloud
84,ibm cloud,cloud
85,watson,cloud
86,heroku,cloud
87,openstack,cloud
88,colocation,cloud
89,digitalocean,cloud
90,linode,cloud
91,ovh,cloud
92,spark,libraries
93,pandas,libraries
94,numpy,libraries
95,pyspark,libraries
96,airflow,libraries
97,hadoop,libraries
98,kafka,libraries
99,tensorflow,libraries
100,keras,libraries
101,pytorch,libraries
102,jupyter,libraries
103,nltk,libraries
104,spring,libraries
105,gdpr,libraries
106,scikit-learn,libraries
107,tidyverse,libraries
108,matplotlib,libraries
109,mxnet,libraries
110,react,libraries
111,rshiny,libraries
112,plotly,libraries
113,flutter,libraries
114,xamarin,libraries
115,ggplot2,libraries
116,graphql,libraries
117,ionic,libraries
118,theano,libraries
119,dplyr,libraries
120,seaborn,libraries
121,hugging face,libraries
122,opencv,libraries
123,electron,libraries
124,selenium,libraries
125,cordova,libraries
126,tidyr,libraries
127,qt,libraries
128,dlib,libraries
129,mlr,libraries
130,huggingface,libraries
131,capacitor,libraries
132,mlpack,libraries
133,chainer,libraries
134,shogun,libraries
135,gtx,libraries
136,angular,webframeworks
137,phoenix,webframeworks
138,vue,webframeworks
139,django,webframeworks
140,vue.js,webframeworks
141,express,webframeworks
142,flask,webframeworks
143,fastapi,webframeworks
144,ruby,webframeworks
145,node.js,webframeworks
146,angular.js,webframeworks
147,react.js,webframeworks
148,jquery,webframeworks
149,asp.net,webframeworks
150,asp.net core,webframeworks
151,drupal,webframeworks
152,svelte,webframeworks
153,ruby on rails,webframeworks
154,node,webframeworks
155,symfony,webframeworks
156,laravel,webframeworks
157,next.js,webframeworks
158,play framework,webframeworks
159,ember.js,webframeworks
160,blazor,webframeworks
161,fastify,webframeworks
162,gatsby,webframeworks
163,nuxt.js,webframeworks
164,asp.netcore,webframeworks
165,rubyon rails,webframeworks
166,asp.netcore,webframeworks
167,deno,webframeworks
168,unix,os
169,linux,os
170,windows,os
171,ubuntu,os
172,centos,os
173,redhat,os
174,wsl,os
175,suse,os
176,macos,os
177,arch,os
178,debian,os
179,kali,os
180,fedora,os
181,excel,analyst_tools
182,tableau,analyst_tools
183,power bi,analyst_tools
184,dax,analyst_tools
185,looker,analyst_tools
186,sas,analyst_tools
187,qlik,analyst_tools
188,word,analyst_tools
189,sap,analyst_tools
190,spreadsheet,analyst_tools
191,microstrategy,analyst_tools
192,sheets,analyst_tools
193,splunk,analyst_tools
194,ssis,analyst_tools
195,sharepoint,analyst_tools
196,powerpoint,analyst_tools
197,ssrs,analyst_tools
198,outlook,analyst_tools
199,spss,analyst_tools
200,cognos,analyst_tools
201,alteryx,analyst_tools
202,ms access,analyst_tools
203,powerbi,analyst_tools
204,visio,analyst_tools
205,powerbi,analyst_tools
206,datarobot,analyst_tools
207,nuix,analyst_tools
208,esquisse,analyst_tools
209,msaccess,analyst_tools
210,git,other
211,jenkins,other
212,terraform,other
213,kubernetes,other
214,docker,other
215,flow,other
216,github,other
217,yarn,other
218,bitbucket,other
219,atlassian,other
220,gitlab,other
221,chef,other
222,puppet,other
223,ansible,other
224,svn,other
225,unity,other
226,terminal,other
227,unreal,other
228,pulumi,other
229,npm,other
230,codecommit,other
231,homebrew,other
232,airtable,async
233,jira,async
234,confluence,async
235,planner,async
236,smartsheet,async
237,asana,async
238,notion,async
239,trello,async
240,wrike,async
241,monday.com,async
242,clickup,async
243,workfront,async
244,microsoft lists,async
245,wimi,async
246,dingtalk,async
247,slack,sync
248,zoom,sync
249,microsoft teams,sync
250,twilio,sync
251,ringcentral,sync
252,unify,sync
253,wire,sync
254,symphony,sync
255,webex,sync
256,mattermost,sync
257,google chat,sync
258,rocketchat,sync
